229,生产主管/督导/领班/组长,218
230,生产文员,218
231,化验员,218
232,其他,218
233,质量/安全管理,217
234,质量管理/测试经理(QA/QC经理),233
235,质量管理/测试主管(QA/QC主管),233
236,质量管理/测试工程师(QA/QC工程师),233
237,质量检验员/测试员,233
238,可靠度工程师,233
239,故障分析工程师,233
240,认证工程师/审核员,233
241,体系工程师/审核员,233
242,安全/健康/环境经理/主管,233
243,安全/健康/环境工程师,233
244,供应商管理,233
245,采购材料、设备质量管理,233
246,其他,233
247,工程/机械/能源,217
248,技术研发经理/主管,247
249,技术研发工程师,247
250,产品工艺/制程工程师,247
251,产品规划工程师,247
252,实验室负责人/工程师,247
253,工程/设备经理,247
254,工程/设备主管,247
255,工程/设备工程师,247
256,工程/机械绘图员,247
257,工业工程师,247
258,机械工程师,247
259,结构工程师,247
260,模具工程师,247
261,机电工程师,247
262,维修经理/主管,247
263,维修工程师,247
264,装配工程师/技师,247
265,铸造/锻造工程师/技师,247
266,注塑工程师/技师,247
267,焊接工程师/技师,247
268,夹具工程师/技师,247
269,CNC工程师,247
270,冲压工程师/技师,247
271,锅炉工程师/技师,247
272,电力工程师/技术员,247
273,光源与照明工程,247
274,汽车/摩托车工程师,247
275,船舶工程师,247
276,轨道工程师/技术员,247
277,飞机维修机械师,247
278,飞行器设计与制造,247
279,水利/水电工程师,247
280,石油天然气技术人员,247
281,矿产勘探/地质勘测工程师,247
282,其他,247
283,汽车,217
284,汽车机构工程师,283
285,汽车设计工程师,283
286,汽车电子工程师,283
287,汽车质量管理,283
288,汽车安全性能工程师,283
289,汽车装配工艺工程师,283
290,汽车修理人员,283
291,4S店经理/维修站经理,283
292,汽车销售/经纪人,283
293,二手车评估师,283
294,其他,283
295,技工,217
296,技工,295
297,钳工/机修工/钣金工,295
298,电焊工/铆焊工,295
299,车工/磨工/铣工/冲压工/锣工,295
300,切割技工,295
301,模具工,295
302,电工,295
303,叉车工,295
304,空调工/电梯工/锅炉工,295
305,水工/木工/漆工,295
306,普工,295
307,裁剪车缝熨烫,295
308,汽车修理工,295
309,其他,295
310,服装/纺织/皮革,217
311,服装/纺织设计总监,310
312,服装/纺织设计,310
313,面料辅料开发,310
314,面料辅料采购,310
315,服装/纺织/皮革跟单,310
316,质量管理/验货员(QA/QC),310
317,板房/楦头/底格出格师,310
318,打样/制版,310
319,电脑放码员,310
320,纸样师/车板工,310
321,裁床,310
322,其他,310
323,采购,217
324,买手,323
325,采购总监,323
326,采购经理,323
327,采购主管,323
328,采购员,323
329,采购助理,323
330,其他,323
331,贸易,217
332,贸易/进出口经理/主管,331
333,贸易/进出口专员/助理,331
334,国内贸易人员,331
335,业务跟单经理,331
336,高级业务跟单,331
337,业务跟单,331
338,助理业务跟单,331
339,其他,331
340,物流/仓储,217
341,物流总监,340
342,物流经理,340
343,物流主管,340
344,物流专员/助理,340
345,供应链总监,340
346,供应链经理,340
347,供应链主管/专员,340
348,物料经理,340
349,物料主管/专员,340
350,仓库经理/主管,340
351,仓库管理员,340
352,运输经理/主管,340
353,项目经理/主管,340
354,货运代理,340
355,集装箱业务,340
356,海关事务管理,340
357,报关员,340
358,单证员,340
359,船务/空运陆运操作,340
360,快递员,340
361,调度员,340
362,理货员,340
363,其他,340
364,生物/制药/医疗/护理,0
365,生物/制药/医疗器械,364
366,生物工程/生物制药,365
367,化学分析测试员,365
368,医药技术研发管理人员,365
369,医药技术研发人员,365
370,临床研究员,365
371,临床协调员,365
372,药品注册,365
373,药品生产/质量管理,365
374,药品市场推广经理,365
375,药品市场推广主管/专员,365
376,医药招商,365
377,政府事务管理,365
378,招投标管理,365
379,医药销售经理/主管,365
380,医药销售代表,365
381,医疗设备注册,365
382,医疗设备生产/质量管理,365
383,医疗器械市场推广,365
384,医疗器械销售,365
385,医疗器械维修人员,365
386,其他,365
387,化工,364
388,化工技术应用/化工工程师,387
389,化工实验室研究员/技术员,387
390,涂料研发工程师,387
391,配色技术员,387
392,塑料工程师,387
393,化妆品研发,387
394,食品/饮料研发,387
395,造纸研发,387
396,其他,387
397,医院/医疗/护理,364
398,医院管理人员,397
399,内科医生,397
400,外科医生,397
401,专科医生,397
402,牙科医生,397
403,麻醉医生,397
404,美容整形师,397
405,理疗师,397
406,中医科医生,397
407,针灸、推拿,397
408,儿科医生,397
409,心理医生,397
410,营养师,397
411,药库主任/药剂师,397
412,医药学检验,397
413,公共卫生/疾病控制,397
414,护理主任/护士长,397
415,护士/护理人员,397
416,兽医,397
417,验光师,397
418,其他,397
419,广告/市场/媒体/艺术,0
420,广告,419
421,广告客户总监/副总监,420
422,广告客户经理,420
423,广告客户主管/专员,420
424,广告创意/设计经理,420
425,广告创意总监,420
426,广告创意/设计主管/专员,420
427,美术指导,420
428,文案/策划,420
429,企业/业务发展经理,420
430,企业策划人员,420
431,其他,420
432,公关/媒介,419
433,公关经理,432
434,公关主管,432
435,公关专员,432
436,会务/会展经理,432
437,会务/会展主管,432
438,会务/会展专员,432
439,媒介经理,432
440,媒介主管,432
441,媒介专员,432
442,公关/媒介助理,432
443,媒介销售,432
444,其他,432
445,市场/营销,419
446,市场/营销/拓展总监,445
447,市场/营销/拓展经理,445
448,市场/营销/拓展主管,445
449,市场/营销/拓展专员,445
450,市场助理,445
451,市场分析/调研人员,445
452,产品/品牌经理,445
453,产品/品牌主管,445
454,产品/品牌专员,445
455,市场通路经理/主管,445
456,市场通路专员,445
457,市场企划经理/主管,445
458,市场企划专员,445
459,促销经理,445
460,促销主管/督导,445
461,促销员/导购,445
462,选址拓展/新店开发,445
463,其他,445
464,影视/媒体,419
465,影视策划/制作人员,464
466,导演/编导,464
467,艺术/设计总监,464
468,经纪人/星探,464
469,演员/模特/主持人,464
470,摄影师/摄像师,464
471,后期制作,464
472,音效师,464
473,配音员,464
474,放映经理/主管,464
475,放映员,464
476,化妆师/造型师,464
477,其他,464
478,写作/出版/印刷,419
